date,frequency,date_int
2020-01-01 13:30:00,9,20200101133000
2020-01-01 13:45:00,7,20200101134500
2020-01-01 14:00:00,2,20200101140000
2020-01-01 14:15:00,5,20200101141500
2020-01-01 14:30:00,7,20200101143000
2020-01-01 14:45:00,14,20200101144500
2020-01-01 15:00:00,5,20200101150000
2020-01-01 15:15:00,8,20200101151500
2020-01-01 15:30:00,11,20200101153000
2020-01-01 15:45:00,2,20200101154500
2020-01-01 16:00:00,2,20200101160000
2020-01-01 16:15:00,0,20200101161500
2020-01-01 16:30:00,8,20200101163000
2020-01-01 16:45:00,4,20200101164500
2020-01-01 17:00:00,4,20200101170000
2020-01-01 17:15:00,6,20200101171500
2020-01-01 17:30:00,2,20200101173000
2020-01-01 17:45:00,2,20200101174500
2020-01-01 18:00:00,2,20200101180000
2020-01-01 18:15:00,4,20200101181500
2020-01-01 18:30:00,0,20200101183000
2020-01-01 18:45:00,0,20200101184500
2020-01-01 19:00:00,0,20200101190000
2020-01-01 19:15:00,0,20200101191500
2020-01-01 19:30:00,0,20200101193000
2020-01-01 19:45:00,0,20200101194500
2020-01-01 20:00:00,0,20200101200000
2020-01-01 20:15:00,0,20200101201500
2020-01-01 20:30:00,0,20200101203000
2020-01-01 20:45:00,0,20200101204500
2020-01-01 21:00:00,0,20200101210000
2020-01-01 21:15:00,0,20200101211500
2020-01-01 21:30:00,0,20200101213000
2020-01-01 21:45:00,0,20200101214500
2020-01-01 22:00:00,0,20200101220000
2020-01-01 22:15:00,0,20200101221500
2020-01-01 22:30:00,0,20200101223000
2020-01-01 22:45:00,0,20200101224500
2020-01-01 23:00:00,0,20200101230000
2020-01-01 23:15:00,0,20200101231500
2020-01-01 23:30:00,0,20200101233000
2020-01-01 23:45:00,0,20200101234500
2020-01-02 00:00:00,0,20200102000000
2020-01-02 00:15:00,0,20200102001500
2020-01-02 00:30:00,0,20200102003000
2020-01-02 00:45:00,0,20200102004500
2020-01-02 01:00:00,0,20200102010000
2020-01-02 01:15:00,0,20200102011500
2020-01-02 01:30:00,0,20200102013000
2020-01-02 01:45:00,0,20200102014500
2020-01-02 02:00:00,0,20200102020000
2020-01-02 02:15:00,0,20200102021500
2020-01-02 02:30:00,0,20200102023000
2020-01-02 02:45:00,0,20200102024500
2020-01-02 03:00:00,0,20200102030000
2020-01-02 03:15:00,0,20200102031500
2020-01-02 03:30:00,0,20200102033000
2020-01-02 03:45:00,0,20200102034500
2020-01-02 04:00:00,0,20200102040000
2020-01-02 04:15:00,0,20200102041500
2020-01-02 04:30:00,0,20200102043000
2020-01-02 04:45:00,0,20200102044500
2020-01-02 05:00:00,0,20200102050000
2020-01-02 05:15:00,0,20200102051500
2020-01-02 05:30:00,0,20200102053000
2020-01-02 05:45:00,0,20200102054500
2020-01-02 06:00:00,0,20200102060000
2020-01-02 06:15:00,0,20200102061500
2020-01-02 06:30:00,0,20200102063000
2020-01-02 06:45:00,0,20200102064500
2020-01-02 07:00:00,0,20200102070000
2020-01-02 07:15:00,0,20200102071500
2020-01-02 07:30:00,0,20200102073000
2020-01-02 07:45:00,0,20200102074500
2020-01-02 08:00:00,0,20200102080000
2020-01-02 08:15:00,0,20200102081500
2020-01-02 08:30:00,0,20200102083000
2020-01-02 08:45:00,0,20200102084500
2020-01-02 09:00:00,2,20200102090000
2020-01-02 09:15:00,4,20200102091500
2020-01-02 09:30:00,0,20200102093000
2020-01-02 09:45:00,7,20200102094500
2020-01-02 10:00:00,4,20200102100000
2020-01-02 10:15:00,0,20200102101500
2020-01-02 10:30:00,2,20200102103000
2020-01-02 10:45:00,6,20200102104500
2020-01-02 11:00:00,16,20200102110000
2020-01-02 11:15:00,6,20200102111500
2020-01-02 11:30:00,17,20200102113000
2020-01-02 11:45:00,9,20200102114500
2020-01-02 12:00:00,8,20200102120000
2020-01-02 12:15:00,8,20200102121500
2020-01-02 12:30:00,14,20200102123000
2020-01-02 12:45:00,2,20200102124500
2020-01-02 13:00:00,0,20200102130000
2020-01-02 13:15:00,4,20200102131500
2020-01-02 13:30:00,2,20200102133000
2020-01-02 13:45:00,5,20200102134500
2020-01-02 14:00:00,4,20200102140000
2020-01-02 14:15:00,0,20200102141500
2020-01-02 14:30:00,6,20200102143000
2020-01-02 14:45:00,7,20200102144500
2020-01-02 15:00:00,9,20200102150000
2020-01-02 15:15:00,17,20200102151500
2020-01-02 15:30:00,6,20200102153000
2020-01-02 15:45:00,8,20200102154500
2020-01-02 16:00:00,6,20200102160000
2020-01-02 16:15:00,7,20200102161500
2020-01-02 16:30:00,9,20200102163000
2020-01-02 16:45:00,20,20200102164500
2020-01-02 17:00:00,18,20200102170000
2020-01-02 17:15:00,10,20200102171500
2020-01-02 17:30:00,2,20200102173000
2020-01-02 17:45:00,7,20200102174500
2020-01-02 18:00:00,0,20200102180000
2020-01-02 18:15:00,10,20200102181500
2020-01-02 18:30:00,0,20200102183000
2020-01-02 18:45:00,0,20200102184500
2020-01-02 19:00:00,0,20200102190000
2020-01-02 19:15:00,0,20200102191500
2020-01-02 19:30:00,0,20200102193000
2020-01-02 19:45:00,0,20200102194500
2020-01-02 20:00:00,0,20200102200000
2020-01-02 20:15:00,0,20200102201500
2020-01-02 20:30:00,0,20200102203000
2020-01-02 20:45:00,0,20200102204500
2020-01-02 21:00:00,0,20200102210000
2020-01-02 21:15:00,0,20200102211500
2020-01-02 21:30:00,0,20200102213000
2020-01-02 21:45:00,0,20200102214500
2020-01-02 22:00:00,0,20200102220000
2020-01-02 22:15:00,0,20200102221500
2020-01-02 22:30:00,0,20200102223000
2020-01-02 22:45:00,0,20200102224500
2020-01-02 23:00:00,0,20200102230000
2020-01-02 23:15:00,0,20200102231500
2020-01-02 23:30:00,0,20200102233000
2020-01-02 23:45:00,0,20200102234500
2020-01-03 00:00:00,0,20200103000000
2020-01-03 00:15:00,0,20200103001500
2020-01-03 00:30:00,0,20200103003000
2020-01-03 00:45:00,0,20200103004500
2020-01-03 01:00:00,0,20200103010000
2020-01-03 01:15:00,0,20200103011500
2020-01-03 01:30:00,0,20200103013000
2020-01-03 01:45:00,0,20200103014500
2020-01-03 02:00:00,0,20200103020000
2020-01-03 02:15:00,0,20200103021500
2020-01-03 02:30:00,0,20200103023000
2020-01-03 02:45:00,0,20200103024500
2020-01-03 03:00:00,0,20200103030000
2020-01-03 03:15:00,0,20200103031500
2020-01-03 03:30:00,0,20200103033000
2020-01-03 03:45:00,0,20200103034500
2020-01-03 04:00:00,0,20200103040000
2020-01-03 04:15:00,0,20200103041500
2020-01-03 04:30:00,0,20200103043000
2020-01-03 04:45:00,0,20200103044500
2020-01-03 05:00:00,0,20200103050000
2020-01-03 05:15:00,0,20200103051500
2020-01-03 05:30:00,0,20200103053000
2020-01-03 05:45:00,0,20200103054500
2020-01-03 06:00:00,0,20200103060000
2020-01-03 06:15:00,0,20200103061500
2020-01-03 06:30:00,0,20200103063000
2020-01-03 06:45:00,0,20200103064500
2020-01-03 07:00:00,0,20200103070000
2020-01-03 07:15:00,0,20200103071500
2020-01-03 07:30:00,0,20200103073000
2020-01-03 07:45:00,0,20200103074500
2020-01-03 08:00:00,0,20200103080000
2020-01-03 08:15:00,0,20200103081500
2020-01-03 08:30:00,0,20200103083000
2020-01-03 08:45:00,0,20200103084500
2020-01-03 09:00:00,2,20200103090000
2020-01-03 09:15:00,1,20200103091500
2020-01-03 09:30:00,2,20200103093000
2020-01-03 09:45:00,4,20200103094500
2020-01-03 10:00:00,5,20200103100000
2020-01-03 10:15:00,11,20200103101500
2020-01-03 10:30:00,10,20200103103000
2020-01-03 10:45:00,6,20200103104500
2020-01-03 11:00:00,20,20200103110000
2020-01-03 11:15:00,19,20200103111500
2020-01-03 11:30:00,18,20200103113000
2020-01-03 11:45:00,4,20200103114500
2020-01-03 12:00:00,16,20200103120000
2020-01-03 12:15:00,5,20200103121500
2020-01-03 12:30:00,8,20200103123000
2020-01-03 12:45:00,2,20200103124500
2020-01-03 13:00:00,8,20200103130000
2020-01-03 13:15:00,4,20200103131500
2020-01-03 13:30:00,2,20200103133000
2020-01-03 13:45:00,4,20200103134500
2020-01-03 14:00:00,2,20200103140000
2020-01-03 14:15:00,8,20200103141500
2020-01-03 14:30:00,10,20200103143000
2020-01-03 14:45:00,10,20200103144500
2020-01-03 15:00:00,6,20200103150000
2020-01-03 15:15:00,9,20200103151500
2020-01-03 15:30:00,25,20200103153000
2020-01-03 15:45:00,2,20200103154500
2020-01-03 16:00:00,16,20200103160000
2020-01-03 16:15:00,11,20200103161500
2020-01-03 16:30:00,6,20200103163000
2020-01-03 16:45:00,8,20200103164500
2020-01-03 17:00:00,15,20200103170000
2020-01-03 17:15:00,16,20200103171500
2020-01-03 17:30:00,7,20200103173000
2020-01-03 17:45:00,12,20200103174500
2020-01-03 18:00:00,2,20200103180000
2020-01-03 18:15:00,4,20200103181500
2020-01-03 18:30:00,5,20200103183000
2020-01-03 18:45:00,0,20200103184500
2020-01-03 19:00:00,0,20200103190000
2020-01-03 19:15:00,0,20200103191500
2020-01-03 19:30:00,0,20200103193000
2020-01-03 19:45:00,0,20200103194500
2020-01-03 20:00:00,0,20200103200000
2020-01-03 20:15:00,0,20200103201500
2020-01-03 20:30:00,0,20200103203000
2020-01-03 20:45:00,0,20200103204500
2020-01-03 21:00:00,0,20200103210000
2020-01-03 21:15:00,0,20200103211500
2020-01-03 21:30:00,0,20200103213000
2020-01-03 21:45:00,0,20200103214500
2020-01-03 22:00:00,0,20200103220000
2020-01-03 22:15:00,0,20200103221500
2020-01-03 22:30:00,0,20200103223000
2020-01-03 22:45:00,0,20200103224500
2020-01-03 23:00:00,0,20200103230000
2020-01-03 23:15:00,0,20200103231500
2020-01-03 23:30:00,0,20200103233000
2020-01-03 23:45:00,0,20200103234500
2020-01-04 00:00:00,0,20200104000000
2020-01-04 00:15:00,0,20200104001500
2020-01-04 00:30:00,0,20200104003000
2020-01-04 00:45:00,0,20200104004500
2020-01-04 01:00:00,0,20200104010000
2020-01-04 01:15:00,0,20200104011500
2020-01-04 01:30:00,0,20200104013000
2020-01-04 01:45:00,0,20200104014500
2020-01-04 02:00:00,0,20200104020000
2020-01-04 02:15:00,0,20200104021500
2020-01-04 02:30:00,0,20200104023000
2020-01-04 02:45:00,0,20200104024500
2020-01-04 03:00:00,0,20200104030000
2020-01-04 03:15:00,0,20200104031500
2020-01-04 03:30:00,0,20200104033000
2020-01-04 03:45:00,0,20200104034500
2020-01-04 04:00:00,0,20200104040000
2020-01-04 04:15:00,0,20200104041500
2020-01-04 04:30:00,0,20200104043000
2020-01-04 04:45:00,0,20200104044500
2020-01-04 05:00:00,0,20200104050000
2020-01-04 05:15:00,0,20200104051500
2020-01-04 05:30:00,0,20200104053000
2020-01-04 05:45:00,0,20200104054500
2020-01-04 06:00:00,0,20200104060000
2020-01-04 06:15:00,0,20200104061500
2020-01-04 06:30:00,0,20200104063000
2020-01-04 06:45:00,0,20200104064500
2020-01-04 07:00:00,0,20200104070000
2020-01-04 07:15:00,0,20200104071500
2020-01-04 07:30:00,0,20200104073000
2020-01-04 07:45:00,0,20200104074500
2020-01-04 08:00:00,0,20200104080000
2020-01-04 08:15:00,0,20200104081500
2020-01-04 08:30:00,0,20200104083000
2020-01-04 08:45:00,0,20200104084500
2020-01-04 09:00:00,4,20200104090000
2020-01-04 09:15:00,2,20200104091500
2020-01-04 09:30:00,4,20200104093000
2020-01-04 09:45:00,4,20200104094500
2020-01-04 10:00:00,6,20200104100000
2020-01-04 10:15:00,23,20200104101500
2020-01-04 10:30:00,15,20200104103000
2020-01-04 10:45:00,12,20200104104500
2020-01-04 11:00:00,6,20200104110000
2020-01-04 11:15:00,6,20200104111500
2020-01-04 11:30:00,12,20200104113000
2020-01-04 11:45:00,6,20200104114500
2020-01-04 12:00:00,7,20200104120000
2020-01-04 12:15:00,21,20200104121500
2020-01-04 12:30:00,12,20200104123000
2020-01-04 12:45:00,0,20200104124500
2020-01-04 13:00:00,8,20200104130000
2020-01-04 13:15:00,10,20200104131500
2020-01-04 13:30:00,0,20200104133000
2020-01-04 13:45:00,3,20200104134500
2020-01-04 14:00:00,5,20200104140000
2020-01-04 14:15:00,13,20200104141500
2020-01-04 14:30:00,9,20200104143000
2020-01-04 14:45:00,7,20200104144500
2020-01-04 15:00:00,14,20200104150000
2020-01-04 15:15:00,6,20200104151500
2020-01-04 15:30:00,2,20200104153000
2020-01-04 15:45:00,10,20200104154500
2020-01-04 16:00:00,9,20200104160000
2020-01-04 16:15:00,10,20200104161500
2020-01-04 16:30:00,10,20200104163000
2020-01-04 16:45:00,21,20200104164500
2020-01-04 17:00:00,6,20200104170000
2020-01-04 17:15:00,2,20200104171500
2020-01-04 17:30:00,0,20200104173000
2020-01-04 17:45:00,2,20200104174500
2020-01-04 18:00:00,6,20200104180000
2020-01-04 18:15:00,4,20200104181500
2020-01-04 18:30:00,2,20200104183000
2020-01-04 18:45:00,0,20200104184500
2020-01-04 19:00:00,0,20200104190000
2020-01-04 19:15:00,0,20200104191500
2020-01-04 19:30:00,0,20200104193000
2020-01-04 19:45:00,0,20200104194500
2020-01-04 20:00:00,0,20200104200000
2020-01-04 20:15:00,0,20200104201500
2020-01-04 20:30:00,0,20200104203000
2020-01-04 20:45:00,0,20200104204500
2020-01-04 21:00:00,0,20200104210000
2020-01-04 21:15:00,0,20200104211500
2020-01-04 21:30:00,0,20200104213000
2020-01-04 21:45:00,0,20200104214500
2020-01-04 22:00:00,0,20200104220000
