,timestamp,poi_id,frequency
146,2020-01-07 15:00:00,50,1
147,2020-01-07 16:00:00,50,9
148,2020-01-07 17:00:00,50,2
149,2020-01-07 18:00:00,50,0
150,2020-01-07 19:00:00,50,0
151,2020-01-07 20:00:00,50,0
152,2020-01-07 21:00:00,50,0
153,2020-01-07 22:00:00,50,0
154,2020-01-07 23:00:00,50,0
155,2020-01-08 00:00:00,50,0
156,2020-01-08 01:00:00,50,0
157,2020-01-08 02:00:00,50,0
158,2020-01-08 03:00:00,50,0
159,2020-01-08 04:00:00,50,0
160,2020-01-08 05:00:00,50,0
161,2020-01-08 06:00:00,50,0
162,2020-01-08 07:00:00,50,0
163,2020-01-08 08:00:00,50,2
164,2020-01-08 09:00:00,50,2
165,2020-01-08 10:00:00,50,12
166,2020-01-08 11:00:00,50,4
167,2020-01-08 12:00:00,50,3
168,2020-01-08 13:00:00,50,6
169,2020-01-08 14:00:00,50,0
170,2020-01-08 15:00:00,50,6
171,2020-01-08 16:00:00,50,5
172,2020-01-08 17:00:00,50,0
173,2020-01-08 18:00:00,50,0
174,2020-01-08 19:00:00,50,0
175,2020-01-08 20:00:00,50,0
176,2020-01-08 21:00:00,50,0
177,2020-01-08 22:00:00,50,0
178,2020-01-08 23:00:00,50,0
179,2020-01-09 00:00:00,50,0
180,2020-01-09 01:00:00,50,0
181,2020-01-09 02:00:00,50,0
182,2020-01-09 03:00:00,50,0
183,2020-01-09 04:00:00,50,0
184,2020-01-09 05:00:00,50,0
185,2020-01-09 06:00:00,50,0
186,2020-01-09 07:00:00,50,0
187,2020-01-09 08:00:00,50,0
188,2020-01-09 09:00:00,50,0
189,2020-01-09 10:00:00,50,4
190,2020-01-09 11:00:00,50,7
191,2020-01-09 12:00:00,50,11
192,2020-01-09 13:00:00,50,4
193,2020-01-09 14:00:00,50,10
194,2020-01-09 15:00:00,50,4
195,2020-01-09 16:00:00,50,5
196,2020-01-09 17:00:00,50,5
197,2020-01-09 18:00:00,50,0
198,2020-01-09 19:00:00,50,0
199,2020-01-09 20:00:00,50,0
200,2020-01-09 21:00:00,50,0
201,2020-01-09 22:00:00,50,0
202,2020-01-09 23:00:00,50,0
203,2020-01-10 00:00:00,50,0
204,2020-01-10 01:00:00,50,0
205,2020-01-10 02:00:00,50,0
206,2020-01-10 03:00:00,50,0
207,2020-01-10 04:00:00,50,0
208,2020-01-10 05:00:00,50,0
209,2020-01-10 06:00:00,50,0
210,2020-01-10 07:00:00,50,0
211,2020-01-10 08:00:00,50,0
212,2020-01-10 09:00:00,50,2
213,2020-01-10 10:00:00,50,4
214,2020-01-10 11:00:00,50,1
215,2020-01-10 12:00:00,50,9
216,2020-01-10 13:00:00,50,2
217,2020-01-10 14:00:00,50,16
218,2020-01-10 15:00:00,50,5
219,2020-01-10 16:00:00,50,7
220,2020-01-10 17:00:00,50,7
221,2020-01-10 18:00:00,50,0
222,2020-01-10 19:00:00,50,0
223,2020-01-10 20:00:00,50,0
224,2020-01-10 21:00:00,50,0
225,2020-01-10 22:00:00,50,0
226,2020-01-10 23:00:00,50,0
227,2020-01-11 00:00:00,50,0
228,2020-01-11 01:00:00,50,0
229,2020-01-11 02:00:00,50,0
230,2020-01-11 03:00:00,50,0
231,2020-01-11 04:00:00,50,0
232,2020-01-11 05:00:00,50,0
233,2020-01-11 06:00:00,50,0
234,2020-01-11 07:00:00,50,0
235,2020-01-11 08:00:00,50,0
236,2020-01-11 09:00:00,50,5
237,2020-01-11 10:00:00,50,2
238,2020-01-11 11:00:00,50,23
239,2020-01-11 12:00:00,50,16
240,2020-01-11 13:00:00,50,12
241,2020-01-11 14:00:00,50,4
242,2020-01-11 15:00:00,50,5
243,2020-01-11 16:00:00,50,17
244,2020-01-11 17:00:00,50,14
245,2020-01-11 18:00:00,50,8
246,2020-01-11 19:00:00,50,0
247,2020-01-11 20:00:00,50,0
248,2020-01-11 21:00:00,50,0
249,2020-01-11 22:00:00,50,0
250,2020-01-11 23:00:00,50,0
251,2020-01-12 00:00:00,50,0
252,2020-01-12 01:00:00,50,0
253,2020-01-12 02:00:00,50,0
254,2020-01-12 03:00:00,50,0
255,2020-01-12 04:00:00,50,0
256,2020-01-12 05:00:00,50,0
257,2020-01-12 06:00:00,50,0
258,2020-01-12 07:00:00,50,0
259,2020-01-12 08:00:00,50,0
260,2020-01-12 09:00:00,50,5
261,2020-01-12 10:00:00,50,14
262,2020-01-12 11:00:00,50,17
263,2020-01-12 12:00:00,50,12
264,2020-01-12 13:00:00,50,8
265,2020-01-12 14:00:00,50,11
266,2020-01-12 15:00:00,50,5
267,2020-01-12 16:00:00,50,8
268,2020-01-12 17:00:00,50,6
269,2020-01-12 18:00:00,50,4
270,2020-01-12 19:00:00,50,0
271,2020-01-12 20:00:00,50,0
