date,frequency,date_int
2014-01-02 10:00:00,2,20140102100000
2014-01-02 11:00:00,11,20140102110000
2014-01-02 12:00:00,14,20140102120000
2014-01-02 13:00:00,14,20140102130000
2014-01-02 14:00:00,15,20140102140000
2014-01-02 15:00:00,15,20140102150000
2014-01-02 16:00:00,13,20140102160000
2014-01-02 17:00:00,8,20140102170000
2014-01-02 18:00:00,0,20140102180000
2014-01-02 19:00:00,0,20140102190000
2014-01-02 20:00:00,0,20140102200000
2014-01-02 21:00:00,0,20140102210000
2014-01-02 22:00:00,0,20140102220000
2014-01-02 23:00:00,0,20140102230000
2014-01-03 00:00:00,0,20140103000000
2014-01-03 01:00:00,0,20140103010000
2014-01-03 02:00:00,0,20140103020000
2014-01-03 03:00:00,0,20140103030000
2014-01-03 04:00:00,0,20140103040000
2014-01-03 05:00:00,0,20140103050000
2014-01-03 06:00:00,0,20140103060000
2014-01-03 07:00:00,0,20140103070000
2014-01-03 08:00:00,2,20140103080000
2014-01-03 09:00:00,4,20140103090000
2014-01-03 10:00:00,7,20140103100000
2014-01-03 11:00:00,10,20140103110000
2014-01-03 12:00:00,10,20140103120000
2014-01-03 13:00:00,11,20140103130000
2014-01-03 14:00:00,34,20140103140000
2014-01-03 15:00:00,34,20140103150000
2014-01-03 16:00:00,36,20140103160000
2014-01-03 17:00:00,6,20140103170000
2014-01-03 18:00:00,3,20140103180000
2014-01-03 19:00:00,0,20140103190000
2014-01-03 20:00:00,0,20140103200000
2014-01-03 21:00:00,0,20140103210000
2014-01-03 22:00:00,0,20140103220000
2014-01-03 23:00:00,0,20140103230000
2014-01-04 00:00:00,0,20140104000000
2014-01-04 01:00:00,0,20140104010000
2014-01-04 02:00:00,0,20140104020000
2014-01-04 03:00:00,0,20140104030000
2014-01-04 04:00:00,0,20140104040000
2014-01-04 05:00:00,0,20140104050000
2014-01-04 06:00:00,0,20140104060000
2014-01-04 07:00:00,0,20140104070000
2014-01-04 08:00:00,0,20140104080000
2014-01-04 09:00:00,0,20140104090000
2014-01-04 10:00:00,6,20140104100000
2014-01-04 11:00:00,4,20140104110000
2014-01-04 12:00:00,10,20140104120000
2014-01-04 13:00:00,14,20140104130000
2014-01-04 14:00:00,13,20140104140000
2014-01-04 15:00:00,9,20140104150000
2014-01-04 16:00:00,21,20140104160000
2014-01-04 17:00:00,2,20140104170000
2014-01-04 18:00:00,2,20140104180000
2014-01-04 19:00:00,0,20140104190000
2014-01-04 20:00:00,0,20140104200000
2014-01-04 21:00:00,0,20140104210000
2014-01-04 22:00:00,0,20140104220000
2014-01-04 23:00:00,0,20140104230000
2014-01-05 00:00:00,0,20140105000000
2014-01-05 01:00:00,0,20140105010000
2014-01-05 02:00:00,0,20140105020000
2014-01-05 03:00:00,0,20140105030000
2014-01-05 04:00:00,0,20140105040000
2014-01-05 05:00:00,0,20140105050000
2014-01-05 06:00:00,0,20140105060000
2014-01-05 07:00:00,0,20140105070000
2014-01-05 08:00:00,0,20140105080000
2014-01-05 09:00:00,0,20140105090000
2014-01-05 10:00:00,0,20140105100000
2014-01-05 11:00:00,10,20140105110000
2014-01-05 12:00:00,7,20140105120000
2014-01-05 13:00:00,2,20140105130000
2014-01-05 14:00:00,0,20140105140000
2014-01-05 15:00:00,6,20140105150000
2014-01-05 16:00:00,4,20140105160000
2014-01-05 17:00:00,0,20140105170000
2014-01-05 18:00:00,0,20140105180000
2014-01-05 19:00:00,0,20140105190000
2014-01-05 20:00:00,0,20140105200000
2014-01-05 21:00:00,0,20140105210000
2014-01-05 22:00:00,0,20140105220000
2014-01-05 23:00:00,0,20140105230000
2014-01-06 00:00:00,0,20140106000000
2014-01-06 01:00:00,0,20140106010000
2014-01-06 02:00:00,0,20140106020000
2014-01-06 03:00:00,0,20140106030000
2014-01-06 04:00:00,0,20140106040000
2014-01-06 05:00:00,0,20140106050000
2014-01-06 06:00:00,0,20140106060000
2014-01-06 07:00:00,0,20140106070000
2014-01-06 08:00:00,0,20140106080000
2014-01-06 09:00:00,0,20140106090000
2014-01-06 10:00:00,4,20140106100000
2014-01-06 11:00:00,2,20140106110000
2014-01-06 12:00:00,4,20140106120000
2014-01-06 13:00:00,4,20140106130000
2014-01-06 14:00:00,4,20140106140000
2014-01-06 15:00:00,10,20140106150000
2014-01-06 16:00:00,2,20140106160000
2014-01-06 17:00:00,0,20140106170000
2014-01-06 18:00:00,0,20140106180000
2014-01-06 19:00:00,0,20140106190000
2014-01-06 20:00:00,0,20140106200000
2014-01-06 21:00:00,0,20140106210000
2014-01-06 22:00:00,0,20140106220000
2014-01-06 23:00:00,0,20140106230000
2014-01-07 00:00:00,0,20140107000000
2014-01-07 01:00:00,0,20140107010000
2014-01-07 02:00:00,0,20140107020000
2014-01-07 03:00:00,0,20140107030000
2014-01-07 04:00:00,0,20140107040000
2014-01-07 05:00:00,0,20140107050000
2014-01-07 06:00:00,0,20140107060000
2014-01-07 07:00:00,0,20140107070000
2014-01-07 08:00:00,0,20140107080000
2014-01-07 09:00:00,0,20140107090000
2014-01-07 10:00:00,0,20140107100000
2014-01-07 11:00:00,0,20140107110000
2014-01-07 12:00:00,2,20140107120000
2014-01-07 13:00:00,0,20140107130000
2014-01-07 14:00:00,6,20140107140000
2014-01-07 15:00:00,4,20140107150000
2014-01-07 16:00:00,6,20140107160000
2014-01-07 17:00:00,0,20140107170000
2014-01-07 18:00:00,4,20140107180000
2014-01-07 19:00:00,0,20140107190000
2014-01-07 20:00:00,0,20140107200000
